year,Democrat,Republican,Populist,Progressive,Dixiecrat,American Independent
1868,Seymour,Grant,,,,
1872,Greeley,Grant,,,,
1876,Tilden,Hayes,,,,
1880,Hancock,Garfield,,,,
1884,Cleveland,Blaine,,,,
1888,Cleveland,Harrison,,,,
1892,Cleveland,Harrison,Field,,,
1896,Bryan,McKinley,,,,
1900,Bryan,McKinley,,,,
1904,Parker,Roosevelt,,,,
1908,Bryan,Taft,,,,
1912,Taft,Wilson,,Roosevelt,,
1916,Hughes,Wilson,,,,
1920,Cox,Harding,,,,
1924,Davis,Coolidge,,La Follette,,
1928,Smith,Hoover,,,,
1932,Rossevelt,Hoover,,,,
1936,Rossevelt,Landon,,,,
1940,Rossevelt,Willkie,,,,
1944,Rossevelt,Dewey,,,,
1948,Truman,Dewey,,,Thurmond,
1952,Stevenson,Eisenhower,,,,
1956,Stevenson,Eisenhower,,,,
1960,Kennedy,Nixon,,,,
1964,Johnson,Goldwater,,,,
1968,Humphrey,Nixon,,,,Wallace
1972,McGovern,Nixon,,,,
1976,Carter,Ford,,,,
1980,Carter,Reagan,,,,
1984,Mondale,Reagan,,,,
1988,Dukakis,Bush,,,,
1992,Clinton,Bush,,,,
1996,Clinton,Dole,,,,
2000,Gore,Bush,,,,
2004,Kerry,Bush,,,,
2008,Obama,McCain,,,,
2012,Obama,Romney,,,,
2016,Clinton,Trump,,,,
2020,Biden,Trump,,,,