ST,District,CODE,map,BIDEN_2020
MI,01,MI-01,2020,0.41216841778599184
MI,02,MI-02,2020,0.43989577225310517
MI,03,MI-03,2020,0.4836240809954452
MI,04,MI-04,2020,0.3782360068337297
MI,05,MI-05,2020,0.5220709522156757
MI,06,MI-06,2020,0.4770201400611955
MI,07,MI-07,2020,0.42337248998155563
MI,08,MI-08,2020,0.4958361039653334
MI,09,MI-09,2020,0.5669939400394973
MI,10,MI-10,2020,0.3490941388844909
MI,11,MI-11,2020,0.5229892503269081
MI,12,MI-12,2020,0.6511630915992002
MI,13,MI-13,2020,0.7978359205021018
MI,14,MI-14,2020,0.8027383635197792
DC,01,DC-01,2020,0.9446695421689736
VT,01,VT-01,2020,0.6829918633265902
SD,01,SD-01,2020,0.3656521992655952
MT,01,MT-01,2020,0.4160281979907365
DE,01,DE-01,2020,0.5962674405347098
ND,01,ND-01,2020,0.32794839061175424
WY,01,WY-01,2020,0.2751956551345774
NJ,01,NJ-01,2020,0.6290700872074949
NJ,02,NJ-02,2020,0.4852810301706047
NJ,03,NJ-03,2020,0.4990924248720407
NJ,04,NJ-04,2020,0.44671966837034466
NJ,05,NJ-05,2020,0.526373193137707
NJ,06,NJ-06,2020,0.5795213429112631
NJ,07,NJ-07,2020,0.5504739893941701
NJ,08,NJ-08,2020,0.7255317784211429
NJ,09,NJ-09,2020,0.6281964729764591
NJ,10,NJ-10,2020,0.8487644490826398
NJ,11,NJ-11,2020,0.5334281811384175
NJ,12,NJ-12,2020,0.6814381437264376
AK,01,AK-01,2020,0.44738151387350006
AL,01,AL-01,2020,0.3565408528800636
AL,02,AL-02,2020,0.3562998816211636
AL,03,AL-03,2020,0.33902415268653235
AL,04,AL-04,2020,0.1790824594817277
AL,05,AL-05,2020,0.36240162374657925
AL,06,AL-06,2020,0.32025238069650624
AL,07,AL-07,2020,0.7136796231342164
AR,01,AR-01,2020,0.2880242970872055
AR,02,AR-02,2020,0.4545586179362756
AR,03,AR-03,2020,0.3624857737070748
AR,04,AR-04,2020,0.30435135968293775
AZ,01,AZ-01,2020,0.5088412219808541
AZ,02,AZ-02,2020,0.5540076781127045
AZ,03,AZ-03,2020,0.6372739789094257
AZ,04,AZ-04,2020,0.31029702264129977
AZ,05,AZ-05,2020,0.42628047177097556
AZ,06,AZ-06,2020,0.4791988171549588
AZ,07,AZ-07,2020,0.748697482129432
AZ,08,AZ-08,2020,0.4194312154768893
AZ,09,AZ-09,2020,0.6194964123267156
CA,01,CA-01,2020,0.42224921014144223
CA,02,CA-02,2020,0.7548210976847582
CA,03,CA-03,2020,0.5626887389186251
CA,04,CA-04,2020,0.45009542437773725
CA,05,CA-05,2020,0.7414573327817107
CA,06,CA-06,2020,0.720693504713746
CA,07,CA-07,2020,0.570756880575157
CA,08,CA-08,2020,0.4463676861470786
CA,09,CA-09,2020,0.5920296164722899
CA,10,CA-10,2020,0.5147904846780315
CA,11,CA-11,2020,0.7589688669752845
CA,12,CA-12,2020,0.8787422808329588
CA,13,CA-13,2020,0.9082088475979386
CA,14,CA-14,2020,0.7912408109168634
CA,15,CA-15,2020,0.7301466590148725
CA,16,CA-16,2020,0.6018353675501836
CA,17,CA-17,2020,0.7394327991780681
CA,18,CA-18,2020,0.7818763486672605
CA,19,CA-19,2020,0.7148006781645315
CA,20,CA-20,2020,0.7439223058182535
CA,21,CA-21,2020,0.5555186118383444
CA,22,CA-22,2020,0.4723964748221995
CA,23,CA-23,2020,0.4148478873506431
CA,24,CA-24,2020,0.6219969027752511
CA,25,CA-25,2020,0.5516177352356976
CA,26,CA-26,2020,0.6271550153316778
CA,27,CA-27,2020,0.685372904762361
CA,28,CA-28,2020,0.7223840576269052
CA,29,CA-29,2020,0.7578923440879471
CA,30,CA-30,2020,0.7000451556284685
CA,31,CA-31,2020,0.6018569376461825
CA,32,CA-32,2020,0.6651044014418052
CA,33,CA-33,2020,0.703841316339142
CA,34,CA-34,2020,0.8270128229649831
CA,35,CA-35,2020,0.6661450115147387
CA,36,CA-36,2020,0.5693157949490207
CA,37,CA-37,2020,0.8590856143865395
CA,38,CA-38,2020,0.6701960277022432
CA,39,CA-39,2020,0.5517555672436717
CA,40,CA-40,2020,0.7890969713901539
CA,41,CA-41,2020,0.6305386462730992
CA,42,CA-42,2020,0.46233725051861235
CA,43,CA-43,2020,0.7861386991524475
CA,44,CA-44,2020,0.8034587846148573
CA,45,CA-45,2020,0.5577007980112835
CA,46,CA-46,2020,0.6574703198899298
CA,47,CA-47,2020,0.6387591577800944
CA,48,CA-48,2020,0.5075669647379529
CA,49,CA-49,2020,0.5651019113842566
CA,50,CA-50,2020,0.4605456357795519
CA,51,CA-51,2020,0.684026565482989
CA,52,CA-52,2020,0.6495299000777713
CA,53,CA-53,2020,0.6843681839937061
CO,01,CO-01,2020,0.773914809911573
CO,02,CO-02,2020,0.6544831204547976
CO,03,CO-03,2020,0.47169403886813277
CO,04,CO-04,2020,0.41863533487737264
CO,05,CO-05,2020,0.43296924955363203
CO,06,CO-06,2020,0.5973159114168515
CO,07,CO-07,2020,0.617620376730841
CT,01,CT-01,2020,0.6420314653987805
CT,02,CT-02,2020,0.5559503099087418
CT,03,CT-03,2020,0.6068688020618849
CT,04,CT-04,2020,0.6513836567456022
CT,05,CT-05,2020,0.553995426048864
FL,01,FL-01,2020,0.32972370257265404
FL,02,FL-02,2020,0.3232135098030971
FL,03,FL-03,2020,0.43311173183688767
FL,04,FL-04,2020,0.39300737533031055
FL,05,FL-05,2020,0.6331095728960253
FL,06,FL-06,2020,0.4118673652941158
FL,07,FL-07,2020,0.5526798944548059
FL,08,FL-08,2020,0.410937970499363
FL,09,FL-09,2020,0.5349977444545723
FL,10,FL-10,2020,0.6261539307552358
FL,11,FL-11,2020,0.340590107405397
FL,12,FL-12,2020,0.4147012345848085
FL,13,FL-13,2020,0.5206834035281914
FL,14,FL-14,2020,0.578870411611284
FL,15,FL-15,2020,0.45692603769259066
FL,16,FL-16,2020,0.4594302875546239
FL,17,FL-17,2020,0.36209930334049867
FL,18,FL-18,2020,0.4575136618070252
FL,19,FL-19,2020,0.39852801852411973
FL,20,FL-20,2020,0.7775451625577389
FL,21,FL-21,2020,0.585411186678822
FL,22,FL-22,2020,0.5745616515705998
FL,23,FL-23,2020,0.5860341620613752
FL,24,FL-24,2020,0.7595096660574089
FL,25,FL-25,2020,0.38138191548030664
FL,26,FL-26,2020,0.472413880380053
FL,27,FL-27,2020,0.5159123873101706
GA,01,GA-01,2020,0.4370910620710141
GA,02,GA-02,2020,0.5614842670989213
GA,03,GA-03,2020,0.3728910843567877
GA,04,GA-04,2020,0.7956354599977977
GA,05,GA-05,2020,0.8723753960719166
GA,06,GA-06,2020,0.557438850979328
GA,07,GA-07,2020,0.5316230245002832
GA,08,GA-08,2020,0.37371642786071835
GA,09,GA-09,2020,0.22645445100671566
GA,10,GA-10,2020,0.39648607378241957
GA,11,GA-11,2020,0.42212353362373406
GA,12,GA-12,2020,0.43551126544354757
GA,13,GA-13,2020,0.763664392690093
GA,14,GA-14,2020,0.25631328616737925
HI,01,HI-01,2020,0.6491578571187399
HI,02,HI-02,2020,0.6514527461962324
IA,01,IA-01,2020,0.48263091586537543
IA,02,IA-02,2020,0.47964145593065954
IA,03,IA-03,2020,0.4993684361523091
IA,04,IA-04,2020,0.3630547399625773
ID,01,ID-01,2020,0.30935814262489797
ID,02,ID-02,2020,0.37860506781777076
IL,01,IL-01,2020,0.7492990684649584
IL,02,IL-02,2020,0.7849333646832533
IL,03,IL-03,2020,0.5645269416260575
IL,04,IL-04,2020,0.8235076647547283
IL,05,IL-05,2020,0.7346675656094227
IL,06,IL-06,2020,0.5646791843279414
IL,07,IL-07,2020,0.8769966483382837
IL,08,IL-08,2020,0.6029143747817324
IL,09,IL-09,2020,0.7215529033070334
IL,10,IL-10,2020,0.6539632064900988
IL,11,IL-11,2020,0.6311262466152217
IL,12,IL-12,2020,0.4273333483081305
IL,13,IL-13,2020,0.48229009928533206
IL,14,IL-14,2020,0.5122548405163618
IL,15,IL-15,2020,0.2641764734212108
IL,16,IL-16,2020,0.41773401770893365
IL,17,IL-17,2020,0.491864161376885
IL,18,IL-18,2020,0.37598900795668916
IN,01,IN-01,2020,0.5445699389184345
IN,02,IN-02,2020,0.39567177779650997
IN,03,IN-03,2020,0.34726674596466905
IN,04,IN-04,2020,0.3476167166394084
IN,05,IN-05,2020,0.48866831339322453
IN,06,IN-06,2020,0.2970544935432111
IN,07,IN-07,2020,0.6406263499824619
IN,08,IN-08,2020,0.33735673919684267
IN,09,IN-09,2020,0.3796842321642029
KS,01,KS-01,2020,0.2876694453314902
KS,02,KS-02,2020,0.42345012541489896
KS,03,KS-03,2020,0.5540493234965975
KS,04,KS-04,2020,0.3891901457790749
KY,01,KY-01,2020,0.25877637439618045
KY,02,KY-02,2020,0.3118246888192238
KY,03,KY-03,2020,0.6113566822359761
KY,04,KY-04,2020,0.34052014885852444
KY,05,KY-05,2020,0.18851828538644108
KY,06,KY-06,2020,0.4535985667884058
LA,01,LA-01,2020,0.3041581492796481
LA,02,LA-02,2020,0.768118435226141
LA,03,LA-03,2020,0.3067996336165933
LA,04,LA-04,2020,0.37557183744560096
LA,05,LA-05,2020,0.34621690625806445
LA,06,LA-06,2020,0.3348215711390008
MA,01,MA-01,2020,0.6238012857830574
MA,02,MA-02,2020,0.6314829195213952
MA,03,MA-03,2020,0.6469792056978502
MA,04,MA-04,2020,0.6567902180093397
MA,05,MA-05,2020,0.7570872957422534
MA,06,MA-06,2020,0.6372672761351343
MA,07,MA-07,2020,0.8650147801103412
MA,08,MA-08,2020,0.6730137915085593
MA,09,MA-09,2020,0.5897730351102946
MD,01,MD-01,2020,0.39926548449675786
MD,02,MD-02,2020,0.6701684010356473
MD,03,MD-03,2020,0.7007504838896019
MD,04,MD-04,2020,0.8048427880496714
MD,05,MD-05,2020,0.698061125413935
MD,06,MD-06,2020,0.6175188449466806
MD,07,MD-07,2020,0.7965716711504561
MD,08,MD-08,2020,0.7060049036447789
ME,01,ME-01,2020,0.6188980564063091
ME,02,ME-02,2020,0.4616043569077125
MN,01,MN-01,2020,0.4481470673485067
MN,02,MN-02,2020,0.5349202300807432
MN,03,MN-03,2020,0.5983219739748369
MN,04,MN-04,2020,0.6890353400740028
MN,05,MN-05,2020,0.819676996734945
MN,06,MN-06,2020,0.39708836114243157
MN,07,MN-07,2020,0.3502214251345836
MN,08,MN-08,2020,0.4256127952265082
MO,01,MO-01,2020,0.8156978250780607
MO,02,MO-02,2020,0.5003536209531771
MO,03,MO-03,2020,0.31944931256976905
MO,04,MO-04,2020,0.3260358988639586
MO,05,MO-05,2020,0.5971569484454573
MO,06,MO-06,2020,0.3527749131542938
MO,07,MO-07,2020,0.28651748977724073
MO,08,MO-08,2020,0.21575284489989507
MS,01,MS-01,2020,0.3426076236271535
MS,02,MS-02,2020,0.643927397974956
MS,03,MS-03,2020,0.3912136534570732
MS,04,MS-04,2020,0.3073226064419907
NC,01,NC-01,2020,0.5429421834651936
NC,02,NC-02,2020,0.6539189470744773
NC,03,NC-03,2020,0.38229507344808006
NC,04,NC-04,2020,0.6748436395071516
NC,05,NC-05,2020,0.319287006427546
NC,06,NC-06,2020,0.6235344349071088
NC,07,NC-07,2020,0.41203607160537714
NC,08,NC-08,2020,0.4666090168345151
NC,09,NC-09,2020,0.46078518236750327
NC,10,NC-10,2020,0.3162018650654452
NC,11,NC-11,2020,0.4387986469899093
NC,12,NC-12,2020,0.711002074832582
NC,13,NC-13,2020,0.3223164864231345
NE,01,NE-01,2020,0.4228635195082864
NE,02,NE-02,2020,0.533699829796349
NE,03,NE-03,2020,0.2286559462751621
NH,01,NH-01,2020,0.5306250185862506
NH,02,NH-02,2020,0.5446130273957699
NM,01,NM-01,2020,0.6165791127242842
NM,02,NM-02,2020,0.4395142289776189
NM,03,NM-03,2020,0.5898105981685076
NV,01,NV-01,2020,0.6279792796932863
NV,02,NV-02,2020,0.44855459798024433
NV,03,NV-03,2020,0.5010257073417064
NV,04,NV-04,2020,0.5200701899704944
NY,01,NY-01,2020,0.47899344874164906
NY,02,NY-02,2020,0.47950895216005784
NY,03,NY-03,2020,0.552586521315078
NY,04,NY-04,2020,0.5618320520788345
NY,05,NY-05,2020,0.8375824768738378
NY,06,NY-06,2020,0.6231226544501459
NY,07,NY-07,2020,0.8253411093385453
NY,08,NY-08,2020,0.8341646801935095
NY,09,NY-09,2020,0.8203763878596327
NY,10,NY-10,2020,0.7690679231785992
NY,11,NY-11,2020,0.44684579214019027
NY,12,NY-12,2020,0.8501612817000431
NY,13,NY-13,2020,0.8876321238185751
NY,14,NY-14,2020,0.739116548721271
NY,15,NY-15,2020,0.8688517895795199
NY,16,NY-16,2020,0.7596340487206986
NY,17,NY-17,2020,0.6019753752532321
NY,18,NY-18,2020,0.5252860002853464
NY,19,NY-19,2020,0.5074834249751381
NY,20,NY-20,2020,0.6054777829419471
NY,21,NY-21,2020,0.44687180565213963
NY,22,NY-22,2020,0.4414171013105768
NY,23,NY-23,2020,0.4423712999635911
NY,24,NY-24,2020,0.5464373664412344
NY,25,NY-25,2020,0.6140409021935863
NY,26,NY-26,2020,0.6374560886013202
NY,27,NY-27,2020,0.41989508828092387
OH,01,OH-01,2020,0.4837708531607701
OH,02,OH-02,2020,0.4355010528850647
OH,03,OH-03,2020,0.7109588542652872
OH,04,OH-04,2020,0.3175577287675994
OH,05,OH-05,2020,0.37312743996824554
OH,06,OH-06,2020,0.2686490752454186
OH,07,OH-07,2020,0.3371798789343504
OH,08,OH-08,2020,0.3302315718419349
OH,09,OH-09,2020,0.5967169550607389
OH,10,OH-10,2020,0.47764240617963494
OH,11,OH-11,2020,0.8057813050600506
OH,12,OH-12,2020,0.4694374687977442
OH,13,OH-13,2020,0.5169821012425169
OH,14,OH-14,2020,0.4543884280768477
OH,15,OH-15,2020,0.4277958391912949
OH,16,OH-16,2020,0.42789280960744874
OK,01,OK-01,2020,0.38293439785973515
OK,02,OK-02,2020,0.22542405389116585
OK,03,OK-03,2020,0.23687554285601206
OK,04,OK-04,2020,0.33059778443346793
OK,05,OK-05,2020,0.47127746174351004
OR,01,OR-01,2020,0.650074530428975
OR,02,OR-02,2020,0.43076033855432927
OR,03,OR-03,2020,0.7603974248621653
OR,04,OR-04,2020,0.5205327966767376
OR,05,OR-05,2020,0.549455872777489
PA,01,PA-01,2020,0.5294978419141597
PA,02,PA-02,2020,0.7068684603128182
PA,03,PA-03,2020,0.9185879521403348
PA,04,PA-04,2020,0.6217853744459916
PA,05,PA-05,2020,0.6568936666830045
PA,06,PA-06,2020,0.5763837594378749
PA,07,PA-07,2020,0.5243502927136261
PA,08,PA-08,2020,0.477666940334682
PA,09,PA-09,2020,0.3456566490170503
PA,10,PA-10,2020,0.48520454188624695
PA,11,PA-11,2020,0.38921456119692116
PA,12,PA-12,2020,0.31690420350796417
PA,13,PA-13,2020,0.2755946842749007
PA,14,PA-14,2020,0.3610799680139992
PA,15,PA-15,2020,0.27881978678623837
PA,16,PA-16,2020,0.4054533343013766
PA,17,PA-17,2020,0.5137583229975187
PA,18,PA-18,2020,0.6523371346668377
RI,01,RI-01,2020,0.6487674145708889
RI,02,RI-02,2020,0.5681956530239756
SC,01,SC-01,2020,0.4695670806297255
SC,02,SC-02,2020,0.4420542683449922
SC,03,SC-03,2020,0.30971719889259197
SC,04,SC-04,2020,0.395784194029875
SC,05,SC-05,2020,0.41558488142711436
SC,06,SC-06,2020,0.6784888213769621
SC,07,SC-07,2020,0.40604742968512997
TN,01,TN-01,2020,0.22501021998984647
TN,02,TN-02,2020,0.3517157451603552
TN,03,TN-03,2020,0.33521032360050634
TN,04,TN-04,2020,0.31212198976878247
TN,05,TN-05,2020,0.6213046795150117
TN,06,TN-06,2020,0.2604255845074243
TN,07,TN-07,2020,0.3190161482012512
TN,08,TN-08,2020,0.33563091858023497
TN,09,TN-09,2020,0.7957160100383655
TX,01,TX-01,2020,0.27565752204777116
TX,02,TX-02,2020,0.4933616745178996
TX,03,TX-03,2020,0.49469731365041736
TX,04,TX-04,2020,0.24678462228528147
TX,05,TX-05,2020,0.3840593924846775
TX,06,TX-06,2020,0.48476253057198504
TX,07,TX-07,2020,0.5429133284860559
TX,08,TX-08,2020,0.28497190458662935
TX,09,TX-09,2020,0.7650318790657432
TX,10,TX-10,2020,0.4918201176090502
TX,11,TX-11,2020,0.19911925152227808
TX,12,TX-12,2020,0.3852376694780319
TX,13,TX-13,2020,0.1971682877085041
TX,14,TX-14,2020,0.4012685733552597
TX,15,TX-15,2020,0.5095022589554521
TX,16,TX-16,2020,0.674868430762349
TX,17,TX-17,2020,0.44404951572580986
TX,18,TX-18,2020,0.7669848354306067
TX,19,TX-19,2020,0.2670590432940181
TX,20,TX-20,2020,0.6472244429432512
TX,21,TX-21,2020,0.48617130669072023
TX,22,TX-22,2020,0.4953188618636573
TX,23,TX-23,2020,0.4909346769778351
TX,24,TX-24,2020,0.5275851827832998
TX,25,TX-25,2020,0.4512121152386187
TX,26,TX-26,2020,0.4283899779204535
TX,27,TX-27,2020,0.3796089469248269
TX,28,TX-28,2020,0.5220277227180523
TX,29,TX-29,2020,0.6674101264679823
TX,30,TX-30,2020,0.808604204436554
TX,31,TX-31,2020,0.485478796776838
TX,32,TX-32,2020,0.5529286832966873
TX,33,TX-33,2020,0.7400836327963329
TX,34,TX-34,2020,0.5202195047899353
TX,35,TX-35,2020,0.6895008256836448
TX,36,TX-36,2020,0.2722041773722288
UT,01,UT-01,2020,0.3298000841884056
UT,02,UT-02,2020,0.41759483768407224
UT,03,UT-03,2020,0.3686386908276621
UT,04,UT-04,2020,0.4522151763295938
VA,01,VA-01,2020,0.4776794313337459
VA,02,VA-02,2020,0.5238159538959444
VA,03,VA-03,2020,0.6824311683520703
VA,04,VA-04,2020,0.6266674819309724
VA,05,VA-05,2020,0.4571261044581658
VA,06,VA-06,2020,0.3922554917275068
VA,07,VA-07,2020,0.5056100183410166
VA,08,VA-08,2020,0.7861810621556112
VA,09,VA-09,2020,0.28707489466427233
VA,10,VA-10,2020,0.5981289593229169
VA,11,VA-11,2020,0.7131311424278428
WA,01,WA-01,2020,0.6075445571150498
WA,02,WA-02,2020,0.639210522763312
WA,03,WA-03,2020,0.4806671174126535
WA,04,WA-04,2020,0.40664804041988695
WA,05,WA-05,2020,0.45335668114869987
WA,06,WA-06,2020,0.5920134091069059
WA,07,WA-07,2020,0.8745316175623563
WA,08,WA-08,2020,0.5335795800024837
WA,09,WA-09,2020,0.7488753546527954
WA,10,WA-10,2020,0.5798993186675757
WI,01,WI-01,2020,0.453257193206144
WI,02,WI-02,2020,0.7035526545824385
WI,03,WI-03,2020,0.47630196801238567
WI,04,WI-04,2020,0.7713024020015856
WI,05,WI-05,2020,0.42341895706701566
WI,06,WI-06,2020,0.4227724646762545
WI,07,WI-07,2020,0.3988607020108726
WI,08,WI-08,2020,0.4192882016243913
WV,01,WV-01,2020,0.3079889989431144
WV,02,WV-02,2020,0.3338884763320048
WV,03,WV-03,2020,0.2582302687017743