congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
1,President,5000,Pro-Administration,1,,,,
1,House,4000,Anti-Administration,29,0.018,0.092,-0.02437931,0.141931034
1,House,5000,Pro-Administration,37,0.578,0.057,0.527837838,0.025756757
1,Senate,4000,Anti-Administration,9,-0.2375,-0.213,-0.23975,-0.04475
1,Senate,5000,Pro-Administration,20,0.427,-0.3085,0.35205,-0.1662
2,President,5000,Pro-Administration,1,,,,
2,House,4000,Anti-Administration,32,-0.022,-0.079,-0.039096774,-0.122064516
2,House,5000,Pro-Administration,40,0.533,0.0825,0.5304,0.081625
2,Senate,4000,Anti-Administration,14,-0.392,-0.544,-0.361214286,-0.308
2,Senate,5000,Pro-Administration,17,0.446,-0.252,0.386411765,-0.117882353
3,President,5000,Pro-Administration,1,,,,
3,House,4000,Anti-Administration,56,-0.072,-0.151,-0.071981818,-0.162618182
3,House,5000,Pro-Administration,54,0.5895,0.0745,0.563711538,0.051115385
3,Senate,4000,Anti-Administration,15,-0.37,-0.548,-0.376933333,-0.432
3,Senate,5000,Pro-Administration,18,0.5705,-0.179,0.5735,0.003888889
4,President,1,Federalist,1,,,,
4,House,1,Federalist,54,0.6035,0.1375,0.561555556,0.141037037
4,House,13,Democrat-Republican,61,-0.0975,-0.033,-0.11895,6.67E-05
4,Senate,1,Federalist,29,0.6185,-0.046,0.57525,0.031178571
4,Senate,13,Democrat-Republican,14,-0.37,-0.462,-0.392769231,-0.349692308
5,President,1,Federalist,1,,,,
5,House,1,Federalist,64,0.622,-0.0165,0.596921875,0.02621875
5,House,13,Democrat-Republican,53,-0.108,-0.042,-0.138150943,-0.076113208
5,Senate,1,Federalist,31,0.717,-0.043,0.595290323,0.035
5,Senate,13,Democrat-Republican,14,-0.364,0.023,-0.320769231,-0.152
6,President,1,Federalist,1,,,,
6,House,1,Federalist,64,0.624,-0.0705,0.591875,-0.04340625
6,House,13,Democrat-Republican,50,-0.068,-0.105,-0.101938776,-0.162244898
6,Senate,1,Federalist,27,0.625,0.036,0.573,0.077481481
6,Senate,13,Democrat-Republican,11,-0.277,0.023,-0.317181818,-0.107
7,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
7,House,1,Federalist,40,0.622,-0.1705,0.6072,-0.031925
7,House,13,Democrat-Republican,74,-0.052,0.057,-0.084232877,-0.02539726
7,Senate,1,Federalist,16,0.689,-0.1075,0.6685,-0.1065
7,Senate,13,Democrat-Republican,20,-0.232,-0.22,-0.268684211,-0.241631579
8,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
8,House,1,Federalist,40,0.615,-0.248,0.599102564,-0.219564103
8,House,13,Democrat-Republican,110,-0.098,0.066,-0.106027523,0.052733945
8,Senate,1,Federalist,10,0.6665,-0.329,0.6515,-0.1751
8,Senate,13,Democrat-Republican,34,-0.2125,-0.22,-0.240176471,-0.298411765
9,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
9,House,1,Federalist,29,0.6075,-0.3695,0.569035714,-0.378357143
9,House,13,Democrat-Republican,120,-0.1035,0.0685,-0.090228814,0.037262712
9,Senate,1,Federalist,7,0.646,-0.409,0.658571429,-0.238142857
9,Senate,13,Democrat-Republican,30,-0.1255,-0.164,-0.111766667,-0.165033333
10,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
10,House,1,Federalist,27,0.599,-0.429,0.527037037,-0.388518519
10,House,13,Democrat-Republican,122,-0.099,0.066,-0.066801653,0.057289256
10,Senate,1,Federalist,7,0.619,-0.249,0.624142857,-0.236714286
10,Senate,13,Democrat-Republican,32,-0.065,0.068,-0.100645161,-0.012290323
11,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
11,House,1,Federalist,51,0.586,-0.43,0.537058824,-0.40727451
11,House,13,Democrat-Republican,103,-0.108,0.095,-0.087873786,0.109893204
11,Senate,1,Federalist,10,0.643,-0.1705,0.6562,-0.2047
11,Senate,13,Democrat-Republican,34,-0.065,0.068,-0.071757576,0.051575758
12,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
12,House,1,Federalist,37,0.591,-0.43,0.501567568,-0.425054054
12,House,13,Democrat-Republican,110,-0.102,0.107,-0.094518182,0.109363636
12,Senate,1,Federalist,6,0.5945,-0.1465,0.625166667,-0.1715
12,Senate,13,Democrat-Republican,31,-0.126,0.023,-0.089193548,-0.035548387
13,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
13,House,1,Federalist,72,0.58,-0.392,0.524704225,-0.339830986
13,House,13,Democrat-Republican,124,-0.0845,0.219,-0.089572581,0.223096774
13,Senate,1,Federalist,10,0.563,-0.242,0.5939,-0.1883
13,Senate,13,Democrat-Republican,36,-0.2145,0.039,-0.12875,-0.008472222
14,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
14,House,1,Federalist,66,0.58,-0.415,0.5216,-0.368092308
14,House,13,Democrat-Republican,133,-0.063,0.18,-0.056218045,0.200398496
14,Senate,1,Federalist,15,0.522,-0.182,0.528066667,-0.1964
14,Senate,13,Democrat-Republican,29,-0.112,0.063,-0.128793103,0.033344828
15,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
15,House,1,Federalist,40,0.472,-0.2845,0.41375,-0.2696
15,House,13,Democrat-Republican,155,0.0205,0.155,0.014701299,0.120357143
15,Senate,1,Federalist,13,0.522,-0.237,0.565,-0.287846154
15,Senate,13,Democrat-Republican,33,-0.041,0.132,-0.073969697,0.08069697
16,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
16,House,1,Federalist,28,0.37,0.156,0.258178571,0.012321429
16,House,13,Democrat-Republican,173,0.084,0.262,0.031523256,0.197424419
16,Senate,1,Federalist,10,0.5995,-0.245,0.5972,-0.2781
16,Senate,13,Democrat-Republican,41,-0.026,0.052,0.012634146,0.056365854
17,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
17,House,1,Federalist,36,0.36,0.147,0.2758,0.0382
17,House,13,Democrat-Republican,165,0.106,0.116,0.046478528,0.079889571
17,Senate,1,Federalist,5,0.575,-0.237,0.5668,-0.2076
17,Senate,13,Democrat-Republican,48,0.034,0.0455,0.082458333,0.044020833
18,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
18,House,13,Democrat-Republican,4,0.257,0.635,0.343333333,0.607333333
18,House,1346,Jackson Republican,65,0.043,0.4585,-0.00140625,0.416328125
18,House,6000,Crawford Federalist,2,0.202,-0.144,0.202,-0.144
18,House,7000,Jackson Federalist,7,0.153,0.338,0.131857143,0.369142857
18,House,7777,Crawford Republican,56,-0.305,-0.23,-0.193218182,-0.193072727
18,House,8000,Adams-Clay Federalist,15,0.289,0.04,0.244933333,-0.195066667
18,House,8888,Adams-Clay Republican,72,0.281,0.111,0.323140845,0.043309859
18,Senate,1346,Jackson Republican,12,-0.1835,-0.0835,-0.160583333,-0.042666667
18,Senate,7777,Crawford Republican,22,0.076,0.006,0.1025,-0.058909091
18,Senate,8000,Adams-Clay Federalist,5,0.57,-0.253,0.5224,-0.2444
18,Senate,8888,Adams-Clay Republican,14,0.233,0.3745,0.227357143,0.437571429
19,President,22,Adams,1,0.396,-0.147,0.396,-0.147
19,House,22,Adams,113,0.227,0.069,0.223892857,0.032348214
19,House,555,Jackson,112,-0.189,0.283,-0.182526786,0.178160714
19,Senate,22,Adams,26,0.37,0.38,0.3494,0.40732
19,Senate,555,Jackson,32,-0.142,-0.226,-0.098709677,-0.210322581
19,Senate,1346,Jackson Republican,1,-0.497,0.868,-0.497,0.868
19,Senate,7777,Crawford Republican,1,0.919,0.377,0.919,0.377
20,President,22,Adams,1,0.396,-0.147,0.396,-0.147
20,House,22,Adams,104,0.282,0.1155,0.26475,0.095115385
20,House,555,Jackson,118,-0.2205,0.242,-0.21379661,0.170864407
20,Senate,22,Adams,23,0.37,0.558,0.336826087,0.479
20,Senate,555,Jackson,30,-0.0745,-0.2315,-0.096333333,-0.179466667
21,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
21,House,26,Anti Masonic,5,0.267,0.136,0.279,0.1434
21,House,555,Jackson,142,-0.2625,0.0505,-0.243288732,0.001830986
21,House,1275,Anti-Jackson,74,0.294,0.147,0.293835616,0.187876712
21,Senate,555,Jackson,31,-0.0985,-0.187,-0.157733333,-0.1412
21,Senate,1275,Anti-Jackson,23,0.395,0.38,0.387608696,0.421652174
22,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
22,House,26,Anti Masonic,17,0.248,-0.033,0.259411765,-0.010470588
22,House,44,Nullifier,4,-0.3125,0.9085,-0.34325,0.8035
22,House,555,Jackson,130,-0.29,-0.0845,-0.279546154,-0.059223077
22,House,1275,Anti-Jackson,67,0.294,0.204,0.289208955,0.207761194
22,Senate,44,Nullifier,3,-0.04,-0.571,-0.032,-0.568333333
22,Senate,555,Jackson,29,-0.161,0.059,-0.20537931,0.108482759
22,Senate,1275,Anti-Jackson,23,0.4075,0.3095,0.406545455,0.282772727
23,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
23,House,26,Anti Masonic,26,0.315,-0.0195,0.328038462,-0.058115385
23,House,44,Nullifier,10,-0.3765,0.884,-0.4026,0.7947
23,House,555,Jackson,150,-0.2665,-0.267,-0.266613333,-0.187613333
23,House,1275,Anti-Jackson,72,0.1875,0.2525,0.188652778,0.273875
23,Senate,44,Nullifier,2,-0.0805,-0.062,-0.0805,-0.062
23,Senate,555,Jackson,25,-0.274,-0.021,-0.30032,0.11124
23,Senate,1275,Anti-Jackson,29,0.384,0.18,0.312034483,0.139724138
24,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
24,House,26,Anti Masonic,16,0.356,-0.0805,0.349,-0.144375
24,House,29,Whig,2,0.1705,0.199,0.1705,0.199
24,House,44,Nullifier,8,-0.4585,0.86,-0.451,0.809875
24,House,555,Jackson,149,-0.283,-0.36,-0.296702703,-0.312033784
24,House,1275,Anti-Jackson,80,0.0805,0.314,0.0771125,0.3194875
24,Senate,44,Nullifier,2,-0.0805,-0.062,-0.0805,-0.062
24,Senate,555,Jackson,34,-0.344,-0.0095,-0.378529412,0.071970588
24,Senate,1275,Anti-Jackson,27,0.274,0.18,0.257185185,0.166962963
25,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
25,House,26,Anti Masonic,7,0.398,-0.146,0.370142857,-0.133285714
25,House,29,Whig,110,0.1745,0.2525,0.121909091,0.272081818
25,House,44,Nullifier,6,-0.5095,0.8155,-0.507166667,0.737833333
25,House,100,Democrat,134,-0.283,-0.418,-0.297308271,-0.362631579
25,House,328,Independent,1,-0.065,0.368,-0.065,0.368
25,Senate,29,Whig,19,0.181,0.181,0.210105263,0.266368421
25,Senate,100,Democrat,40,-0.341,-0.1245,-0.364825,-0.038925
26,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
26,House,26,Anti Masonic,6,0.3815,-0.2285,0.367666667,-0.1775
26,House,29,Whig,121,0.209,0.2325,0.122775,0.290358333
26,House,100,Democrat,128,-0.297,-0.452,-0.32103125,-0.369367188
26,House,112,Conservative,2,-0.3525,0.2905,-0.3525,0.2905
26,Senate,29,Whig,28,0.251,0.174,0.207321429,0.253071429
26,Senate,100,Democrat,32,-0.3695,-0.1695,-0.39009375,-0.1026875
27,President,29,Whig,2,0.251,-0.968,0.251,-0.968
27,House,29,Whig,151,0.179,0.176,0.140569536,0.261059603
27,House,100,Democrat,106,-0.3475,-0.3345,-0.363773585,-0.267311321
27,House,328,Independent,1,-0.576,0.749,-0.576,0.749
27,House,329,Ind. Democrat,1,-0.109,-0.17,-0.109,-0.17
27,Senate,29,Whig,34,0.251,0.2595,0.199735294,0.244352941
27,Senate,100,Democrat,25,-0.373,-0.161,-0.40524,-0.13648
28,President,29,Whig,1,0.251,-0.968,0.251,-0.968
28,House,29,Whig,80,0.251,0.2125,0.1713625,0.2380375
28,House,100,Democrat,152,-0.2815,-0.2805,-0.298193333,-0.25352
28,House,329,Ind. Democrat,1,0.172,0.042,0.172,0.042
28,House,403,Law and Order,2,0.1765,0.1645,0.1765,0.1645
28,House,603,Ind. Whig,1,-0.092,0.545,-0.092,0.545
28,Senate,29,Whig,29,0.216,0.25,0.169413793,0.241724138
28,Senate,100,Democrat,30,-0.412,-0.2215,-0.421933333,-0.121966667
28,Senate,403,Law and Order,1,0.353,-0.355,0.353,-0.355
29,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
29,House,29,Whig,84,0.232,0.195,0.174329268,0.253036585
29,House,100,Democrat,150,-0.29,-0.2235,-0.32852,-0.21964
29,House,310,American,6,0.145,0.037,0.1285,0.064833333
29,Senate,29,Whig,26,0.2805,0.2235,0.244653846,0.244961538
29,Senate,100,Democrat,39,-0.43,-0.082,-0.428897436,-0.015435897
29,Senate,1111,Liberty,1,0.907,0.29,0.907,0.29
30,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
30,House,29,Whig,119,0.242,0.085,0.197350427,0.19474359
30,House,100,Democrat,115,-0.3375,-0.211,-0.34872807,-0.214078947
30,House,310,American,1,0.013,0.24,0.013,0.24
30,House,328,Independent,1,0.552,-0.598,0.552,-0.598
30,House,329,Ind. Democrat,2,-0.129,-0.493,-0.129,-0.493
30,Senate,29,Whig,24,0.2115,0.248,0.204791667,0.316583333
30,Senate,100,Democrat,47,-0.398,-0.175,-0.380851064,-0.175
30,Senate,329,Ind. Democrat,1,0.11,-0.8,0.11,-0.8
31,President,29,Whig,2,,,,
31,House,29,Whig,113,0.298,0.154,0.239168142,0.185159292
31,House,100,Democrat,120,-0.374,-0.159,-0.386588235,-0.179016807
31,House,300,Free Soil,9,0.425,-0.812,0.387444444,-0.814111111
31,House,310,American,1,0.013,0.24,0.013,0.24
31,House,328,Independent,1,0.013,0.246,0.013,0.246
31,Senate,29,Whig,29,0.244,0.243,0.186428571,0.318892857
31,Senate,100,Democrat,40,-0.377,-0.151,-0.374,-0.1298
31,Senate,300,Free Soil,2,0.2125,-0.8745,0.2125,-0.8745
32,President,29,Whig,1,,,,
32,House,29,Whig,89,0.289,0.149,0.247235955,0.097842697
32,House,46,States Rights,3,-0.421,0.087,-0.451333333,0.068666667
32,House,100,Democrat,129,-0.303,-0.163,-0.305116279,-0.186426357
32,House,300,Free Soil,4,0.4775,-0.8045,0.4525,-0.792
32,House,329,Ind. Democrat,3,-0.23,0.037,-0.175,-0.010666667
32,House,603,Ind. Whig,1,0.022,0.735,0.022,0.735
32,House,4444,Union,10,-0.407,0.337,-0.4084,0.308
32,Senate,29,Whig,26,0.102,0.2965,0.0945,0.375576923
32,Senate,100,Democrat,44,-0.384,-0.051,-0.378295455,-0.115886364
32,Senate,300,Free Soil,3,0.315,-0.8,0.255666667,-0.664333333
33,President,100,Democrat,1,0.256,0.132,0.256,0.132
33,House,29,Whig,77,0.2585,-0.069,0.191644737,-0.066078947
33,House,100,Democrat,159,-0.31,-0.099,-0.300235669,-0.10733121
33,House,300,Free Soil,4,0.294,-0.497,0.276,-0.47725
33,House,328,Independent,1,0.103,-0.224,0.103,-0.224
33,House,329,Ind. Democrat,1,-0.214,-0.053,-0.214,-0.053
33,Senate,29,Whig,23,0.03,0.373,0.070565217,0.379695652
33,Senate,100,Democrat,42,-0.384,0.008,-0.362214286,-0.090904762
33,Senate,300,Free Soil,4,0.4305,-0.5615,0.4705,-0.579
33,Senate,310,American,1,0.332,-0.22,0.332,-0.22
34,President,100,Democrat,1,0.256,0.132,0.256,0.132
34,House,100,Democrat,85,-0.432,-0.076,-0.396564706,-0.057294118
34,House,200,Republican,1,0.549,-0.683,0.549,-0.683
34,House,310,American,52,0.0275,0.1605,0.101480769,0.121846154
34,House,3333,Opposition,100,0.313,-0.337,0.290878788,-0.321909091
34,Senate,100,Democrat,39,-0.405,0.033,-0.380384615,0.009051282
34,Senate,200,Republican,1,0.343,-0.291,0.343,-0.291
34,Senate,310,American,1,-0.361,-0.056,-0.361,-0.056
34,Senate,3333,Opposition,23,0.214,0.1585,0.138227273,0.086409091
35,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
35,House,100,Democrat,136,-0.341,0.031,-0.375562963,0.085281481
35,House,200,Republican,94,0.3225,-0.367,0.329808511,-0.399521277
35,House,310,American,15,-0.072,0.343,-0.0754,0.368
35,House,329,Ind. Democrat,2,-0.0965,0.087,-0.0965,0.087
35,Senate,100,Democrat,47,-0.421,0.137,-0.408425532,0.128659574
35,Senate,200,Republican,21,0.268,-0.228,0.250952381,-0.358619048
35,Senate,310,American,5,-0.08,0.453,-0.1458,0.4052
36,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
36,House,100,Democrat,87,-0.437,-0.006,-0.425862069,0.04245977
36,House,108,Anti-Lecompton Democrat,8,-0.002,-0.0995,-0.01025,-0.075625
36,House,200,Republican,119,0.293,-0.2645,0.294525424,-0.301525424
36,House,310,American,5,0.068,0.512,0.0242,0.5722
36,House,329,Ind. Democrat,7,-0.425,0.397,-0.387142857,0.243
36,House,3334,Opposition,19,-0.091,0.156,-0.112052632,0.216473684
36,Senate,100,Democrat,41,-0.445,0.101,-0.432585366,0.06597561
36,Senate,200,Republican,27,0.244,-0.244,0.239074074,-0.373
36,Senate,310,American,2,-0.108,0.4395,-0.108,0.4395
37,President,200,Republican,1,0.431,0.902,0.431,0.902
37,House,37,Constitutional Unionist,2,0.0335,0.595,0.0335,0.595
37,House,100,Democrat,52,-0.279,0.263,-0.232784314,0.310254902
37,House,200,Republican,114,0.3165,-0.2445,0.306587719,-0.244394737
37,House,206,Unionist,32,-0.001,0.444,0.004935484,0.378774194
37,House,329,Ind. Democrat,1,-0.334,0.942,-0.334,0.942
37,House,4444,Union,2,0.138,0.574,0.138,0.574
37,Senate,100,Democrat,29,-0.421,0.114,-0.393172414,0.101448276
37,Senate,200,Republican,37,0.214,-0.236,0.19975,-0.346083333
37,Senate,206,Unionist,8,-0.183,0.208,-0.147,0.07175
38,President,200,Republican,1,0.431,0.902,0.431,0.902
38,House,100,Democrat,75,-0.306,0.1145,-0.287716216,0.15677027
38,House,200,Republican,86,0.3465,-0.135,0.347895349,-0.094267442
38,House,203,Unconditional Unionist,18,0.216,0.2695,0.179777778,0.138055556
38,House,206,Unionist,9,-0.122,0.56,-0.191444444,0.231666667
38,House,331,Ind. Republican,2,0.0985,-0.5075,0.0985,-0.5075
38,Senate,100,Democrat,11,-0.303,0.265,-0.296181818,0.291545455
38,Senate,200,Republican,34,0.27,-0.1375,0.250647059,-0.209617647
38,Senate,203,Unconditional Unionist,5,0.025,-0.037,0.0244,-0.092
38,Senate,206,Unionist,5,-0.1915,0.386,-0.185,0.36125
39,President,200,Republican,2,0.431,0.902,0.431,0.902
39,House,100,Democrat,44,-0.338,0.2315,-0.3575,0.168431818
39,House,200,Republican,138,0.314,-0.143,0.303474453,-0.131729927
39,House,203,Unconditional Unionist,14,0.1305,0.1755,0.107785714,0.141142857
39,House,206,Unionist,5,-0.255,-0.115,-0.2502,-0.0602
39,House,331,Ind. Republican,1,0.371,-0.596,0.371,-0.596
39,Senate,100,Democrat,11,-0.275,0.182,-0.294090909,0.175272727
39,Senate,200,Republican,44,0.27,-0.078,0.234954545,-0.138681818
